Year,Tipo de valor,Territorio,Comarca,Municipio,Units,GeoCode,Serie,Value
2015,Nominal,,,Ajangiz,Porcentaje,Ajangiz,Valor añadido del sector manufacturo en proporción al PIB,74.0
2016,Nominal,,,Ajangiz,Porcentaje,Ajangiz,Valor añadido del sector manufacturo en proporción al PIB,74.6
2019,Nominal,,,Ajangiz,Euro per cápita,Ajangiz,Valor añadido del sector manufacturo,165122.1
2017,Nominal,,,Albiztur,Porcentaje,Albiztur,Valor añadido del sector manufacturo en proporción al PIB,45.7
2020,Nominal,,,Albiztur,Euro per cápita,Albiztur,Valor añadido del sector manufacturo,18231.9
2020,Nominal,,,Albiztur,Porcentaje,Albiztur,Valor añadido del sector manufacturo en proporción al PIB,47.5
2019,Nominal,,,Albiztur,Euro per cápita,Albiztur,Valor añadido del sector manufacturo,17117.1
2017,Nominal,,,Albiztur,Euro per cápita,Albiztur,Valor añadido del sector manufacturo,15409.2
2014,Nominal,,,Albiztur,Euro per cápita,Albiztur,Valor añadido del sector manufacturo,5990.1
2016,Nominal,,,Albiztur,Porcentaje,Albiztur,Valor añadido del sector manufacturo en proporción al PIB,45.1
2016,Nominal,,,Albiztur,Euro per cápita,Albiztur,Valor añadido del sector manufacturo,13677.0
2018,Nominal,,,Albiztur,Porcentaje,Albiztur,Valor añadido del sector manufacturo en proporción al PIB,50.4
2015,Nominal,,,Albiztur,Porcentaje,Albiztur,Valor añadido del sector manufacturo en proporción al PIB,44.6
2018,Nominal,,,Albiztur,Euro per cápita,Albiztur,Valor añadido del sector manufacturo,19214.0
2014,Nominal,,,Albiztur,Porcentaje,Albiztur,Valor añadido del sector manufacturo en proporción al PIB,26.5
2021,Nominal,,,Albiztur,Euro per cápita,Albiztur,Valor añadido del sector manufacturo,20885.6
2015,Nominal,,,Albiztur,Euro per cápita,Albiztur,Valor añadido del sector manufacturo,13993.4
2019,Nominal,,,Albiztur,Porcentaje,Albiztur,Valor añadido del sector manufacturo en proporción al PIB,44.1
2021,Nominal,,,Albiztur,Porcentaje,Albiztur,Valor añadido del sector manufacturo en proporción al PIB,46.2
2019,Nominal,,,Alegia,Euro per cápita,Alegia,Valor añadido del sector manufacturo,8794.6
2018,Nominal,,,Alegia,Porcentaje,Alegia,Valor añadido del sector manufacturo en proporción al PIB,36.2
2016,Nominal,,,Alegia,Euro per cápita,Alegia,Valor añadido del sector manufacturo,7076.2
2020,Nominal,,,Alegia,Euro per cápita,Alegia,Valor añadido del sector manufacturo,10169.3
2015,Nominal,,,Alegia,Euro per cápita,Alegia,Valor añadido del sector manufacturo,8079.8
2017,Nominal,,,Alegia,Euro per cápita,Alegia,Valor añadido del sector manufacturo,7821.1
2014,Nominal,,,Alegia,Porcentaje,Alegia,Valor añadido del sector manufacturo en proporción al PIB,35.9
2016,Nominal,,,Alegia,Porcentaje,Alegia,Valor añadido del sector manufacturo en proporción al PIB,31.8
2015,Nominal,,,Alegia,Porcentaje,Alegia,Valor añadido del sector manufacturo en proporción al PIB,35.1
2018,Nominal,,,Alegia,Euro per cápita,Alegia,Valor añadido del sector manufacturo,8986.6
2019,Nominal,,,Alegia,Porcentaje,Alegia,Valor añadido del sector manufacturo en proporción al PIB,34.9
2021,Nominal,,,Alegia,Porcentaje,Alegia,Valor añadido del sector manufacturo en proporción al PIB,46.9
2021,Nominal,,,Alegia,Euro per cápita,Alegia,Valor añadido del sector manufacturo,13970.1
2017,Nominal,,,Alegia,Porcentaje,Alegia,Valor añadido del sector manufacturo en proporción al PIB,34.1
2020,Nominal,,,Alegia,Porcentaje,Alegia,Valor añadido del sector manufacturo en proporción al PIB,38.1
2014,Nominal,,,Alegia,Euro per cápita,Alegia,Valor añadido del sector manufacturo,7499.9
2021,Nominal,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,Valor añadido del sector manufacturo en proporción al PIB,23.7
2018,Nominal,,,Alegría-Dulantzi,Euro per cápita,Alegría-Dulantzi,Valor añadido del sector manufacturo,2842.8
2014,Nominal,,,Alegría-Dulantzi,Euro per cápita,Alegría-Dulantzi,Valor añadido del sector manufacturo,4057.7
2016,Nominal,,,Alegría-Dulantzi,Euro per cápita,Alegría-Dulantzi,Valor añadido del sector manufacturo,4609.4
2019,Nominal,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,Valor añadido del sector manufacturo en proporción al PIB,21.7
2014,Nominal,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,Valor añadido del sector manufacturo en proporción al PIB,25.0
2015,Nominal,,,Alegría-Dulantzi,Euro per cápita,Alegría-Dulantzi,Valor añadido del sector manufacturo,2731.1
2021,Nominal,,,Alegría-Dulantzi,Euro per cápita,Alegría-Dulantzi,Valor añadido del sector manufacturo,3795.3
2017,Nominal,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,Valor añadido del sector manufacturo en proporción al PIB,17.5
2020,Nominal,,,Alegría-Dulantzi,Euro per cápita,Alegría-Dulantzi,Valor añadido del sector manufacturo,3222.0
2017,Nominal,,,Alegría-Dulantzi,Euro per cápita,Alegría-Dulantzi,Valor añadido del sector manufacturo,2508.2
2016,Nominal,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,Valor añadido del sector manufacturo en proporción al PIB,25.5
2020,Nominal,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,Valor añadido del sector manufacturo en proporción al PIB,22.2
2019,Nominal,,,Alegría-Dulantzi,Euro per cápita,Alegría-Dulantzi,Valor añadido del sector manufacturo,3477.4
2015,Nominal,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,Valor añadido del sector manufacturo en proporción al PIB,17.2
2018,Nominal,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,Valor añadido del sector manufacturo en proporción al PIB,18.5
2021,Nominal,,,Alkiza,Porcentaje,Alkiza,Valor añadido del sector manufacturo en proporción al PIB,2.6
2021,Nominal,,,Alkiza,Euro per cápita,Alkiza,Valor añadido del sector manufacturo,327.1
2018,Nominal,,,Alkiza,Porcentaje,Alkiza,Valor añadido del sector manufacturo en proporción al PIB,3.0
2020,Nominal,,,Alkiza,Euro per cápita,Alkiza,Valor añadido del sector manufacturo,312.3
2020,Nominal,,,Alkiza,Porcentaje,Alkiza,Valor añadido del sector manufacturo en proporción al PIB,2.7
2019,Nominal,,,Alkiza,Euro per cápita,Alkiza,Valor añadido del sector manufacturo,362.1
2019,Nominal,,,Alkiza,Porcentaje,Alkiza,Valor añadido del sector manufacturo en proporción al PIB,2.6
2017,Nominal,,,Alkiza,Euro per cápita,Alkiza,Valor añadido del sector manufacturo,640.1
2015,Nominal,,,Alkiza,Porcentaje,Alkiza,Valor añadido del sector manufacturo en proporción al PIB,2.9
2016,Nominal,,,Alkiza,Euro per cápita,Alkiza,Valor añadido del sector manufacturo,365.5
2014,Nominal,,,Alkiza,Euro per cápita,Alkiza,Valor añadido del sector manufacturo,354.9
2015,Nominal,,,Alkiza,Euro per cápita,Alkiza,Valor añadido del sector manufacturo,356.3
2018,Nominal,,,Alkiza,Euro per cápita,Alkiza,Valor añadido del sector manufacturo,391.4
2017,Nominal,,,Alkiza,Porcentaje,Alkiza,Valor añadido del sector manufacturo en proporción al PIB,5.0
2016,Nominal,,,Alkiza,Porcentaje,Alkiza,Valor añadido del sector manufacturo en proporción al PIB,2.8
2014,Nominal,,,Alkiza,Porcentaje,Alkiza,Valor añadido del sector manufacturo en proporción al PIB,2.8
2021,Nominal,,,Alonsotegi,Euro per cápita,Alonsotegi,Valor añadido del sector manufacturo,11270.6
2019,Nominal,,,Alonsotegi,Euro per cápita,Alonsotegi,Valor añadido del sector manufacturo,13509.7
2017,Nominal,,,Alonsotegi,Euro per cápita,Alonsotegi,Valor añadido del sector manufacturo,9291.8
2021,Nominal,,,Alonsotegi,Porcentaje,Alonsotegi,Valor añadido del sector manufacturo en proporción al PIB,43.6
2020,Nominal,,,Alonsotegi,Euro per cápita,Alonsotegi,Valor añadido del sector manufacturo,11439.3
2018,Nominal,,,Alonsotegi,Porcentaje,Alonsotegi,Valor añadido del sector manufacturo en proporción al PIB,41.8
2015,Nominal,,,Alonsotegi,Porcentaje,Alonsotegi,Valor añadido del sector manufacturo en proporción al PIB,39.5
2019,Nominal,,,Alonsotegi,Porcentaje,Alonsotegi,Valor añadido del sector manufacturo en proporción al PIB,45.8
2017,Nominal,,,Alonsotegi,Porcentaje,Alonsotegi,Valor añadido del sector manufacturo en proporción al PIB,39.3
2014,Nominal,,,Alonsotegi,Euro per cápita,Alonsotegi,Valor añadido del sector manufacturo,6737.0
2014,Nominal,,,Alonsotegi,Porcentaje,Alonsotegi,Valor añadido del sector manufacturo en proporción al PIB,29.1
2018,Nominal,,,Alonsotegi,Euro per cápita,Alonsotegi,Valor añadido del sector manufacturo,10704.9
2016,Nominal,,,Alonsotegi,Porcentaje,Alonsotegi,Valor añadido del sector manufacturo en proporción al PIB,36.6
2020,Nominal,,,Alonsotegi,Porcentaje,Alonsotegi,Valor añadido del sector manufacturo en proporción al PIB,43.1
2015,Nominal,,,Alonsotegi,Euro per cápita,Alonsotegi,Valor añadido del sector manufacturo,8710.5
2016,Nominal,,,Alonsotegi,Euro per cápita,Alonsotegi,Valor añadido del sector manufacturo,8056.6
2021,Nominal,,,Altzaga,Porcentaje,Altzaga,Valor añadido del sector manufacturo en proporción al PIB,0.2
2016,Nominal,,,Altzaga,Euro per cápita,Altzaga,Valor añadido del sector manufacturo,302.5
2018,Nominal,,,Altzaga,Euro per cápita,Altzaga,Valor añadido del sector manufacturo,268.8
2014,Nominal,,,Altzaga,Euro per cápita,Altzaga,Valor añadido del sector manufacturo,290.7
2014,Nominal,,,Altzaga,Porcentaje,Altzaga,Valor añadido del sector manufacturo en proporción al PIB,2.6
2015,Nominal,,,Altzaga,Euro per cápita,Altzaga,Valor añadido del sector manufacturo,302.0
2016,Nominal,,,Altzaga,Porcentaje,Altzaga,Valor añadido del sector manufacturo en proporción al PIB,2.8
2020,Nominal,,,Altzaga,Euro per cápita,Altzaga,Valor añadido del sector manufacturo,39.7
2017,Nominal,,,Altzaga,Porcentaje,Altzaga,Valor añadido del sector manufacturo en proporción al PIB,1.6
2020,Nominal,,,Altzaga,Porcentaje,Altzaga,Valor añadido del sector manufacturo en proporción al PIB,0.3
2021,Nominal,,,Altzaga,Euro per cápita,Altzaga,Valor añadido del sector manufacturo,29.3
2017,Nominal,,,Altzaga,Euro per cápita,Altzaga,Valor añadido del sector manufacturo,184.8
2019,Nominal,,,Altzaga,Euro per cápita,Altzaga,Valor añadido del sector manufacturo,301.9
2018,Nominal,,,Altzaga,Porcentaje,Altzaga,Valor añadido del sector manufacturo en proporción al PIB,2.4
2019,Nominal,,,Altzaga,Porcentaje,Altzaga,Valor añadido del sector manufacturo en proporción al PIB,2.1
2015,Nominal,,,Altzaga,Porcentaje,Altzaga,Valor añadido del sector manufacturo en proporción al PIB,2.4
2016,Nominal,,,Altzo,Euro per cápita,Altzo,Valor añadido del sector manufacturo,46491.6
2015,Nominal,,,Altzo,Porcentaje,Altzo,Valor añadido del sector manufacturo en proporción al PIB,59.6
2018,Nominal,,,Altzo,Euro per cápita,Altzo,Valor añadido del sector manufacturo,40309.0
2018,Nominal,,,Altzo,Porcentaje,Altzo,Valor añadido del sector manufacturo en proporción al PIB,53.2
2020,Nominal,,,Altzo,Euro per cápita,Altzo,Valor añadido del sector manufacturo,47511.5
2021,Nominal,,,Altzo,Euro per cápita,Altzo,Valor añadido del sector manufacturo,50535.6
2017,Nominal,,,Altzo,Euro per cápita,Altzo,Valor añadido del sector manufacturo,29087.1
2020,Nominal,,,Altzo,Porcentaje,Altzo,Valor añadido del sector manufacturo en proporción al PIB,51.5
2014,Nominal,,,Altzo,Porcentaje,Altzo,Valor añadido del sector manufacturo en proporción al PIB,55.5
2019,Nominal,,,Altzo,Euro per cápita,Altzo,Valor añadido del sector manufacturo,47688.2
2015,Nominal,,,Altzo,Euro per cápita,Altzo,Valor añadido del sector manufacturo,55548.0
2014,Nominal,,,Altzo,Euro per cápita,Altzo,Valor añadido del sector manufacturo,48572.7
2019,Nominal,,,Altzo,Porcentaje,Altzo,Valor añadido del sector manufacturo en proporción al PIB,54.5
2017,Nominal,,,Altzo,Porcentaje,Altzo,Valor añadido del sector manufacturo en proporción al PIB,45.3
2016,Nominal,,,Altzo,Porcentaje,Altzo,Valor añadido del sector manufacturo en proporción al PIB,56.3
2021,Nominal,,,Altzo,Porcentaje,Altzo,Valor añadido del sector manufacturo en proporción al PIB,55.6
2020,Nominal,,,Amezketa,Porcentaje,Amezketa,Valor añadido del sector manufacturo en proporción al PIB,54.2
2017,Nominal,,,Amezketa,Porcentaje,Amezketa,Valor añadido del sector manufacturo en proporción al PIB,52.9
2021,Nominal,,,Amezketa,Porcentaje,Amezketa,Valor añadido del sector manufacturo en proporción al PIB,60.5
2018,Nominal,,,Amezketa,Porcentaje,Amezketa,Valor añadido del sector manufacturo en proporción al PIB,55.5
2018,Nominal,,,Amezketa,Euro per cápita,Amezketa,Valor añadido del sector manufacturo,29004.4
2015,Nominal,,,Amezketa,Euro per cápita,Amezketa,Valor añadido del sector manufacturo,22555.6
2017,Nominal,,,Amezketa,Euro per cápita,Amezketa,Valor añadido del sector manufacturo,25818.9
2020,Nominal,,,Amezketa,Euro per cápita,Amezketa,Valor añadido del sector manufacturo,32973.5
2019,Nominal,,,Amezketa,Euro per cápita,Amezketa,Valor añadido del sector manufacturo,37268.7
2019,Nominal,,,Amezketa,Porcentaje,Amezketa,Valor añadido del sector manufacturo en proporción al PIB,55.1
2014,Nominal,,,Amezketa,Euro per cápita,Amezketa,Valor añadido del sector manufacturo,21000.5
2016,Nominal,,,Amezketa,Porcentaje,Amezketa,Valor añadido del sector manufacturo en proporción al PIB,52.6
2015,Nominal,,,Amezketa,Porcentaje,Amezketa,Valor añadido del sector manufacturo en proporción al PIB,46.0
2016,Nominal,,,Amezketa,Euro per cápita,Amezketa,Valor añadido del sector manufacturo,25816.5
2014,Nominal,,,Amezketa,Porcentaje,Amezketa,Valor añadido del sector manufacturo en proporción al PIB,48.9
2021,Nominal,,,Amezketa,Euro per cápita,Amezketa,Valor añadido del sector manufacturo,44450.2
2018,Nominal,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,Valor añadido del sector manufacturo en proporción al PIB,21.0
2017,Nominal,,,Amorebieta-Etxano,Euro per cápita,Amorebieta-Etxano,Valor añadido del sector manufacturo,12550.1
2014,Nominal,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,Valor añadido del sector manufacturo en proporción al PIB,20.7
2018,Nominal,,,Amorebieta-Etxano,Euro per cápita,Amorebieta-Etxano,Valor añadido del sector manufacturo,12120.4
2020,Nominal,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,Valor añadido del sector manufacturo en proporción al PIB,19.6
2021,Nominal,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,Valor añadido del sector manufacturo en proporción al PIB,19.4
2017,Nominal,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,Valor añadido del sector manufacturo en proporción al PIB,22.5
2019,Nominal,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,Valor añadido del sector manufacturo en proporción al PIB,21.7
2019,Nominal,,,Amorebieta-Etxano,Euro per cápita,Amorebieta-Etxano,Valor añadido del sector manufacturo,12684.5
2016,Nominal,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,Valor añadido del sector manufacturo en proporción al PIB,20.5
2014,Nominal,,,Amorebieta-Etxano,Euro per cápita,Amorebieta-Etxano,Valor añadido del sector manufacturo,9677.1
2015,Nominal,,,Amorebieta-Etxano,Euro per cápita,Amorebieta-Etxano,Valor añadido del sector manufacturo,9598.5
2021,Nominal,,,Amorebieta-Etxano,Euro per cápita,Amorebieta-Etxano,Valor añadido del sector manufacturo,13376.8
2020,Nominal,,,Amorebieta-Etxano,Euro per cápita,Amorebieta-Etxano,Valor añadido del sector manufacturo,10954.2
2016,Nominal,,,Amorebieta-Etxano,Euro per cápita,Amorebieta-Etxano,Valor añadido del sector manufacturo,10673.8
2015,Nominal,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,Valor añadido del sector manufacturo en proporción al PIB,19.1
2015,Nominal,,,Amoroto,Euro per cápita,Amoroto,Valor añadido del sector manufacturo,21422.6
2016,Nominal,,,Amoroto,Euro per cápita,Amoroto,Valor añadido del sector manufacturo,22622.6
2015,Nominal,,,Amoroto,Porcentaje,Amoroto,Valor añadido del sector manufacturo en proporción al PIB,54.8
2019,Nominal,,,Amoroto,Euro per cápita,Amoroto,Valor añadido del sector manufacturo,37827.7
2020,Nominal,,,Amoroto,Euro per cápita,Amoroto,Valor añadido del sector manufacturo,33320.3
2019,Nominal,,,Amoroto,Porcentaje,Amoroto,Valor añadido del sector manufacturo en proporción al PIB,66.6
2018,Nominal,,,Amoroto,Euro per cápita,Amoroto,Valor añadido del sector manufacturo,29458.9
2017,Nominal,,,Amoroto,Porcentaje,Amoroto,Valor añadido del sector manufacturo en proporción al PIB,61.9
2021,Nominal,,,Amoroto,Euro per cápita,Amoroto,Valor añadido del sector manufacturo,34175.9
2021,Nominal,,,Amoroto,Porcentaje,Amoroto,Valor añadido del sector manufacturo en proporción al PIB,65.3
2017,Nominal,,,Amoroto,Euro per cápita,Amoroto,Valor añadido del sector manufacturo,25312.6
2016,Nominal,,,Amoroto,Porcentaje,Amoroto,Valor añadido del sector manufacturo en proporción al PIB,57.9
2014,Nominal,,,Amoroto,Euro per cápita,Amoroto,Valor añadido del sector manufacturo,25122.4
2014,Nominal,,,Amoroto,Porcentaje,Amoroto,Valor añadido del sector manufacturo en proporción al PIB,59.0
2020,Nominal,,,Amoroto,Porcentaje,Amoroto,Valor añadido del sector manufacturo en proporción al PIB,66.2
2018,Nominal,,,Amoroto,Porcentaje,Amoroto,Valor añadido del sector manufacturo en proporción al PIB,63.3
2016,Nominal,,,Amurrio,Euro per cápita,Amurrio,Valor añadido del sector manufacturo,18294.9
2015,Nominal,,,Amurrio,Euro per cápita,Amurrio,Valor añadido del sector manufacturo,17210.8
2021,Nominal,,,Amurrio,Euro per cápita,Amurrio,Valor añadido del sector manufacturo,11452.3
2019,Nominal,,,Amurrio,Porcentaje,Amurrio,Valor añadido del sector manufacturo en proporción al PIB,45.8
2016,Nominal,,,Amurrio,Porcentaje,Amurrio,Valor añadido del sector manufacturo en proporción al PIB,47.3
2019,Nominal,,,Amurrio,Euro per cápita,Amurrio,Valor añadido del sector manufacturo,17781.4
2018,Nominal,,,Amurrio,Euro per cápita,Amurrio,Valor añadido del sector manufacturo,20853.4
2014,Nominal,,,Amurrio,Euro per cápita,Amurrio,Valor añadido del sector manufacturo,20079.9
2015,Nominal,,,Amurrio,Porcentaje,Amurrio,Valor añadido del sector manufacturo en proporción al PIB,46.0
2017,Nominal,,,Amurrio,Euro per cápita,Amurrio,Valor añadido del sector manufacturo,19559.0
2017,Nominal,,,Amurrio,Porcentaje,Amurrio,Valor añadido del sector manufacturo en proporción al PIB,49.5
2020,Nominal,,,Amurrio,Porcentaje,Amurrio,Valor añadido del sector manufacturo en proporción al PIB,39.9
2014,Nominal,,,Amurrio,Porcentaje,Amurrio,Valor añadido del sector manufacturo en proporción al PIB,50.5
2021,Nominal,,,Amurrio,Porcentaje,Amurrio,Valor añadido del sector manufacturo en proporción al PIB,37.0
2020,Nominal,,,Amurrio,Euro per cápita,Amurrio,Valor añadido del sector manufacturo,12452.9
2018,Nominal,,,Amurrio,Porcentaje,Amurrio,Valor añadido del sector manufacturo en proporción al PIB,50.8
2020,Nominal,,,Andoain,Porcentaje,Andoain,Valor añadido del sector manufacturo en proporción al PIB,28.7
2021,Nominal,,,Andoain,Euro per cápita,Andoain,Valor añadido del sector manufacturo,9744.8
