Year,Computer skills,Sex,Age,Province,Units,Value
2021,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,,%,53.26
2019,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,,%,32.81
2020,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,,%,47.85
2020,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Araba/Álava,%,49.01
2022,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Araba/Álava,%,42.88
2019,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Araba/Álava,%,35.16
2023,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Araba/Álava,%,38.16
2021,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Araba/Álava,%,42.22
2023,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Bizkaia,%,51.15
2019,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Bizkaia,%,32.63
2022,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Bizkaia,%,43.76
2020,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Bizkaia,%,47.43
2021,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Bizkaia,%,55.21
2023,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Gipuzkoa,%,46.3
2020,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Gipuzkoa,%,47.94
2019,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Gipuzkoa,%,32.18
2022,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Gipuzkoa,%,33.21
2021,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,Gipuzkoa,%,55.51
2020,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,,%,31.46
2021,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,,%,32.22
2023,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,,%,37.7
2019,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,,%,20.51
2022,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,,%,26.75
2021,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Araba/Álava,%,29.91
2020,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Araba/Álava,%,29.26
2019,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Araba/Álava,%,23.92
2022,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Araba/Álava,%,28.03
2023,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Araba/Álava,%,37.29
2019,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Bizkaia,%,20.07
2020,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Bizkaia,%,31.07
2022,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Bizkaia,%,26.8
2021,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Bizkaia,%,33.67
2023,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Bizkaia,%,38.78
2021,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Gipuzkoa,%,31.0
2019,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Gipuzkoa,%,19.69
2020,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Gipuzkoa,%,33.15
2023,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Gipuzkoa,%,36.17
2022,"Changing the settings of any software, including the operating system and security programs",Male,16-74 years,Gipuzkoa,%,26.07
2020,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,,%,29.32
2021,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,,%,29.21
2022,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,,%,24.92
2023,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,,%,36.35
2019,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,,%,19.11
2020,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Araba/Álava,%,26.56
2019,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Araba/Álava,%,22.74
2022,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Araba/Álava,%,26.21
2021,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Araba/Álava,%,28.04
2023,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Araba/Álava,%,37.15
2019,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Bizkaia,%,18.72
2023,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Bizkaia,%,37.15
2020,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Bizkaia,%,29.03
2022,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Bizkaia,%,24.49
2021,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Bizkaia,%,30.86
2020,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Gipuzkoa,%,31.11
2021,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Gipuzkoa,%,27.05
2023,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Gipuzkoa,%,34.72
2019,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Gipuzkoa,%,18.09
2022,"Changing the settings of any software, including the operating system and security programs",Male,25-74 years,Gipuzkoa,%,25.02
